CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
141.0,265.0,0.9787,1.3789,-1.045,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,-1.0,0.5,-0.5,0.5,-0.5,102.218,103.25,103.25,103.25,101.775,102.79,102.589,104.214,95.061,99.484,93.105,95.25,103.161,104.21,104.189,102.641,1
141.0,244.0,0.973,0.9915,-1.1517,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,1.0,0.0,0.0,-1.5,1.5,0.0,1.0,102.218,103.25,103.25,103.25,100.619,101.625,102.922,103.413,94.52,98.604,93.025,95.112,103.004,104.048,104.046,101.957,1
141.0,256.0,0.9772,0.6895,-1.2186,0.5,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.5,0.5,0.0,0.0,2.0,-2.0,0.0,0.0,102.218,103.25,103.25,103.25,101.388,102.869,101.706,103.232,94.316,98.865,94.524,95.492,103.085,104.178,104.183,102.57,1
143.0,248.0,0.9832,0.3668,-1.321,0.5,-0.5,0.0,0.0,-0.5,0.5,0.0,0.0,1.0,-1.0,-0.5,0.5,-0.5,0.5,-0.5,0.5,102.218,103.25,103.25,103.25,102.491,103.176,103.318,103.803,95.544,98.633,95.424,98.167,103.405,104.45,104.448,103.491,1
140.0,243.0,0.9727,0.4686,-1.1707,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.0,-1.0,1.0,0.0,0.0,-0.5,0.5,1.0,-1.0,102.218,103.25,103.25,103.25,100.942,101.693,102.09,102.973,93.688,99.358,93.028,96.365,102.802,104.016,104.005,102.636,1
141.0,242.0,0.9748,0.5479,-1.1975,-0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.5,-1.5,0.0,0.0,0.0,-1.0,2.0,-2.0,102.218,103.25,103.25,103.25,100.49,101.2,101.782,102.953,91.052,97.977,91.918,94.324,103.016,104.081,104.077,102.039,1
140.0,248.0,0.9732,0.7249,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,-1.0,102.218,103.25,103.25,103.25,100.014,102.003,102.414,102.899,95.73,100.163,95.586,96.989,102.91,103.95,103.95,102.398,1
137.0,237.0,0.9682,1.3587,-1.23,0.5,-0.5,0.0,0.0,1.0,-1.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,-1.5,1.5,102.218,103.25,103.25,103.25,99.084,101.697,102.082,103.285,96.177,100.455,95.888,96.668,102.839,103.877,103.881,101.613,1
139.0,235.0,0.9775,0.5653,-1.1849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5,0.0,0.0,-0.5,0.5,102.218,103.25,103.25,103.25,101.177,102.344,102.987,103.215,96.853,98.904,96.284,97.334,103.141,104.174,104.183,103.015,1
147.0,246.0,0.9669,0.9456,-1.1929,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,-0.5,0.5,1.0,-1.0,102.218,103.25,103.25,103.25,99.755,102.851,102.74,103.733,92.62,97.589,90.593,94.008,102.508,103.791,103.789,101.003,1
143.0,255.0,0.9623,1.3118,-1.1763,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,102.218,103.25,103.25,103.25,98.797,101.421,102.113,102.665,97.84,98.675,95.12,97.782,102.646,103.683,103.682,101.57,1
137.0,260.0,0.9672,1.7846,-1.1913,0.5,0.5,0.0,0.0,0.5,-0.5,0.0,0.0,-0.5,0.5,0.5,-0.5,-2.5,2.5,0.5,-0.5,102.218,103.25,103.25,103.25,99.777,101.937,100.854,102.585,95.393,98.309,94.339,94.601,102.714,103.722,103.773,101.475,1
145.0,235.0,0.972,0.4344,-1.2743,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,102.218,103.25,103.25,103.25,99.933,102.299,102.757,104.013,94.996,99.672,94.802,96.841,102.932,103.973,103.972,102.238,1
143.0,251.0,0.9755,0.2192,-1.1857,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-2.5,0.5,-0.5,-6.0,6.0,-2.5,2.5,102.218,103.25,103.25,103.25,101.01,102.572,101.203,103.284,93.83,97.088,93.018,94.853,102.288,104.092,104.081,102.026,1
142.0,236.0,0.9755,0.1087,-1.2213,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,-7.0,7.0,0.0,0.0,0.5,-1.5,0.5,-0.5,102.218,103.25,103.25,103.25,101.055,101.895,103.138,102.835,91.752,96.844,92.671,95.364,102.495,104.091,104.088,102.792,1
