CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
153.0,270.0,0.9827,0.0373,-1.0988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,0.5,-0.5,-2.0,2.0,102.218,103.25,103.25,103.25,103.405,103.059,102.375,103.793,97.142,87.171,83.298,83.031,98.601,99.676,103.493,104.414,1
140.0,263.0,0.9824,-0.2953,-1.131,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,-0.5,-1.0,-2.0,1.0,0.0,0.0,102.218,103.25,103.25,103.25,103.076,97.357,100.227,102.299,94.343,86.656,85.74,84.379,100.495,104.376,104.377,104.381,1
156.0,227.0,0.9895,-0.9475,-1.2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.5,-0.5,102.218,103.25,103.25,103.25,102.757,103.882,104.656,104.704,91.34,85.386,86.997,86.344,101.861,104.128,104.457,104.697,1
141.0,242.0,0.9812,-0.5452,-1.4072,1.5,-0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,2.5,-1.5,1.5,0.5,-0.5,102.218,103.25,103.25,103.25,101.093,100.449,101.567,101.372,92.377,91.835,92.747,90.876,100.086,101.724,101.451,103.149,1
156.0,245.0,0.9853,-0.9869,-1.1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-1.0,1.5,2.0,-0.5,-0.5,0.5,102.218,103.25,103.25,103.25,103.502,102.903,104.364,104.54,94.136,89.281,87.498,84.329,98.208,99.875,102.317,104.36,1
140.0,256.0,0.9835,-0.0576,-1.2093,0.0,0.0,0.0,0.5,-0.5,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.5,1.5,102.218,103.25,103.25,103.25,102.52,102.161,100.911,100.481,95.492,91.944,90.954,90.649,99.103,103.828,104.442,104.445,1
154.0,233.0,0.977,-0.8344,-1.2157,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,-1.0,2.0,2.5,-1.0,2.0,-0.5,0.5,-0.5,102.218,103.25,103.25,103.25,101.172,101.412,103.154,99.416,87.239,87.679,85.686,83.772,96.448,95.82,101.26,104.174,1
156.0,226.0,0.9901,-1.1067,-1.1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,0.5,-1.5,1.5,2.0,-2.0,102.218,103.25,103.25,103.25,103.335,104.218,104.808,104.816,89.785,85.775,87.703,84.433,100.327,103.578,104.483,104.778,1
148.0,252.0,0.9901,0.0195,-1.1443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,102.218,103.25,103.25,103.25,103.733,103.764,104.773,104.781,94.683,91.953,91.933,91.06,102.788,104.748,104.746,104.747,1
149.0,287.0,0.9886,-0.9365,-1.2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-1.0,1.0,102.218,103.25,103.25,103.25,103.633,103.864,104.008,104.679,98.052,90.25,89.988,88.398,101.486,103.902,104.659,104.672,1
