CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
139.0,219.0,0.9046,-0.3689,-0.9519,0.0,0.0,0.0,1.0,0.0,0.0,0.5,-0.5,-1.0,1.0,-1.0,1.0,2.5,-2.0,0.5,-0.5,101.755,102.589,102.761,102.159,97.627,97.242,97.845,90.793,93.159,88.162,90.28,93.081,95.409,100.928,96.83,101.312,1
138.0,264.0,0.8223,3.4,-0.6816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,-0.5,0.5,0.0,0.0,-1.0,1.0,100.473,101.487,101.497,100.719,101.269,99.46,101.787,100.101,99.69,94.498,90.826,91.943,98.484,100.037,102.418,99.291,1
132.0,248.0,0.8907,1.0108,-0.8649,0.0,0.0,-1.5,1.5,0.0,0.0,0.5,-0.5,0.0,0.0,-3.0,3.0,-2.0,2.0,0.5,-0.5,101.501,101.068,102.531,102.53,98.654,96.054,98.017,96.024,100.004,92.648,92.942,92.499,97.727,102.948,98.948,99.87,1
157.0,237.0,0.8752,-0.3416,-0.9783,0.0,0.0,-0.5,0.5,0.0,0.0,-0.5,0.5,-0.5,1.5,-0.5,0.5,0.0,0.0,0.5,-0.5,101.209,102.223,102.213,100.081,100.317,94.79,99.786,98.217,96.097,89.742,88.283,90.642,95.368,100.828,96.356,95.257,1
154.0,236.0,0.8631,0.3769,-0.9775,0.5,-0.5,-1.0,1.0,0.0,0.0,0.5,-0.5,-0.5,0.5,0.5,-0.5,1.0,-1.0,1.5,-1.5,101.949,102.765,102.763,102.287,101.805,100.319,102.278,97.238,98.407,94.317,91.571,92.534,101.506,95.495,94.816,99.981,1
143.0,246.0,0.8412,-0.1972,-1.1152,0.5,0.5,0.5,-0.5,0.0,0.0,-0.5,0.5,0.0,0.0,-0.5,0.5,-0.5,0.5,0.0,0.0,100.724,101.756,101.75,99.911,98.308,94.475,98.986,95.045,97.766,88.6,91.333,92.201,95.981,100.771,99.26,100.434,1
120.0,221.0,0.9039,2.0375,-0.9849,0.0,0.0,3.0,-3.0,0.5,-0.5,0.0,0.0,-1.0,1.0,0.0,0.0,-0.5,0.5,-3.0,2.0,100.984,101.415,102.699,102.177,95.653,98.017,97.883,95.546,97.428,95.358,93.77,96.988,97.644,101.891,98.891,100.834,1
144.0,271.0,0.7884,1.3929,-0.5989,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,100.435,100.254,101.159,100.306,102.114,97.973,97.941,98.398,102.097,94.906,93.542,89.635,100.67,98.934,102.281,99.153,1
166.0,247.0,0.8904,0.1437,-0.7825,0.0,0.0,-0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.847,102.753,102.763,101.663,102.302,100.422,100.498,97.775,98.374,92.801,93.503,92.427,97.61,96.796,91.836,99.101,1
142.0,246.0,0.8872,1.2968,-0.9797,-0.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,-0.5,-0.5,0.5,-0.5,-0.5,-2.5,3.5,101.409,102.424,102.416,101.894,100.748,99.394,99.832,96.645,98.093,91.574,92.047,91.485,98.772,100.2,98.831,99.043,1
147.0,249.0,0.8774,-0.2106,-1.0963,0.0,0.5,1.0,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5,-2.0,2.0,101.231,102.261,102.233,101.562,100.416,95.212,99.277,93.113,96.916,88.664,90.491,90.085,95.322,102.237,100.124,99.55,1
143.0,251.0,0.797,0.6712,-0.9282,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.5,4.5,-4.0,-1.0,1.0,100.898,101.254,101.593,100.548,101.234,95.841,100.986,95.175,99.802,95.542,89.899,90.731,99.719,97.546,102.257,97.801,1
154.0,237.0,0.7874,0.496,-1.2797,-0.5,0.5,-0.5,0.5,0.0,0.0,0.5,-0.5,0.5,-0.5,-1.0,-0.5,1.5,-0.5,-1.0,1.0,101.38,101.804,101.803,100.825,101.252,98.358,99.044,97.487,97.718,87.061,91.65,91.031,100.954,95.848,95.848,96.308,1
155.0,275.0,0.919,-0.2079,-1.007,0.0,0.0,0.0,0.5,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,3.5,-3.5,0.0,0.0,101.934,102.966,102.963,102.597,101.965,98.423,99.082,99.587,101.826,88.36,90.004,86.319,95.243,98.883,100.173,93.735,1
152.0,242.0,0.8847,-0.5723,-1.1643,1.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-1.0,1.0,0.5,-0.5,101.704,100.445,102.629,101.722,97.227,97.51,99.162,97.533,97.826,89.286,89.465,85.419,95.025,98.328,96.107,97.537,1
141.0,245.0,0.8672,0.2287,-1.2134,-0.5,0.5,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.5,0.5,0.5,-0.5,0.5,-2.0,101.066,102.088,100.216,99.933,99.697,94.398,101.035,93.346,93.938,89.946,89.082,93.152,96.713,99.9,98.552,98.153,1
142.0,217.0,0.9136,0.0692,-1.1059,0.0,0.0,-1.5,1.5,0.0,0.0,0.0,0.0,1.0,-1.0,0.5,-0.5,0.5,0.0,0.0,0.0,101.539,102.524,102.463,100.163,97.758,96.82,98.048,96.156,91.181,90.298,91.011,92.043,97.756,102.871,97.391,99.829,1
154.0,166.0,0.9127,0.7254,-0.5678,-0.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,1.0,-1.0,0.0,0.0,0.5,-0.5,0.0,0.0,101.767,102.796,102.799,102.064,99.222,101.509,100.594,98.605,91.766,95.634,95.461,101.656,99.565,98.332,98.466,102.151,1
