CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
155.0,225.0,0.8846,-0.6577,-1.1275,0.0,0.0,0.5,-0.5,0.0,0.0,1.0,-1.0,-0.5,0.5,-0.5,0.5,0.0,0.0,1.0,0.5,100.138,102.34,102.316,102.178,97.453,98.391,98.42,95.887,89.249,93.091,97.711,98.574,99.635,99.538,97.014,94.205,1
159.0,230.0,0.8306,-1.0701,-1.2572,0.5,-0.5,0.0,0.0,0.0,0.0,1.5,-0.5,-1.5,1.5,0.0,-1.0,-0.5,-0.5,0.0,0.0,98.515,100.416,101.188,101.627,91.939,99.84,97.316,94.493,96.995,94.951,97.364,101.382,101.865,99.793,98.038,94.756,1
152.0,247.0,0.8846,-0.7356,-1.1453,0.5,-0.5,-1.5,1.5,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.318,102.332,101.989,101.916,94.348,98.112,97.002,94.672,96.83,95.389,98.691,99.446,101.967,99.254,95.817,98.004,1
146.0,236.0,0.8861,-0.791,-1.1641,-0.5,1.5,1.0,-1.0,0.0,0.0,1.0,-1.0,6.5,-6.5,-0.5,0.5,1.0,-1.0,-0.5,1.5,100.43,101.831,101.216,101.777,95.168,95.739,95.744,96.638,92.542,96.738,102.361,100.158,101.963,100.222,96.356,96.397,1
155.0,238.0,0.8118,-0.7817,-1.0634,0.0,0.0,0.5,-0.5,-0.5,0.5,0.0,0.0,-2.0,2.0,0.5,-0.5,0.0,0.0,0.0,0.0,98.683,101.543,101.15,100.893,93.996,99.102,96.324,95.472,94.448,94.528,97.72,102.247,101.674,99.248,98.673,94.367,1
143.0,225.0,0.8138,-1.0998,-1.3265,-1.0,1.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,97.79,100.534,99.124,97.647,89.189,95.442,93.515,95.123,98.467,97.558,102.579,98.072,100.901,98.794,93.102,95.075,1
144.0,244.0,0.8879,-0.3958,-1.2752,-0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,-4.0,4.0,-0.5,0.5,-0.5,0.5,0.5,-0.5,100.903,102.406,101.772,101.39,95.879,98.739,97.674,94.386,90.876,94.712,97.41,99.442,100.286,99.834,95.674,97.841,1
143.0,226.0,0.9081,-0.4593,-1.0627,-0.5,0.5,-0.5,2.0,-0.5,1.0,0.5,-0.5,-1.0,1.0,-0.5,0.5,1.5,-1.5,0.0,0.0,100.421,102.614,102.763,102.428,94.369,98.004,97.874,97.417,93.932,93.603,98.941,97.421,101.898,100.581,93.974,97.725,1
149.0,250.0,0.8763,-0.4794,-1.003,-1.0,1.5,0.0,0.0,0.5,-0.5,0.5,-0.5,-3.5,3.5,0.0,0.0,1.5,-3.5,-1.5,2.0,99.904,101.521,101.894,101.808,95.716,97.763,96.015,96.07,92.85,93.375,96.066,98.345,101.386,102.74,95.402,94.136,1
157.0,230.0,0.9369,-0.5122,-1.1037,0.0,1.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.5,-0.5,-2.0,2.0,0.5,-0.5,-0.5,1.0,102.218,103.25,103.25,103.25,99.69,100.385,98.892,98.487,90.189,92.159,95.895,95.212,98.618,97.614,92.737,99.492,1
158.0,240.0,0.9034,-0.6925,-0.9897,-0.5,0.5,0.0,0.0,0.5,-0.5,-0.5,0.5,1.5,-1.5,0.5,-0.5,0.5,-0.5,1.5,-1.5,100.939,102.633,102.581,102.605,95.391,99.233,98.452,98.594,90.632,92.819,93.597,97.883,100.172,99.656,94.9,93.369,1
