CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
151.0,257.0,0.9181,-0.6974,-1.0707,0.0,0.0,-0.5,0.5,0.0,0.0,-0.5,0.5,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,101.936,102.531,101.859,102.965,101.97,100.981,100.701,100.815,100.462,100.788,99.966,97.714,97.557,100.43,101.444,101.741,1
130.0,252.0,0.8577,-0.5679,-1.1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,-0.5,0.5,100.978,99.78,99.933,101.996,101.537,101.466,99.763,98.332,100.128,100.665,98.72,100.364,96.99,101.335,101.853,101.787,1
153.0,254.0,0.8713,-0.9071,-1.0898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.141,100.696,100.006,102.161,101.968,101.398,100.895,99.64,100.81,99.859,99.845,97.173,96.521,99.856,101.115,101.0,1
135.0,273.0,0.9024,-0.9968,-0.8765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,101.638,101.407,101.941,102.666,101.832,101.751,100.463,99.228,100.572,100.695,99.2,99.677,98.021,100.797,100.441,102.626,1
151.0,260.0,0.8955,-1.255,-1.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,101.529,101.853,100.433,102.559,101.969,101.212,100.041,99.423,101.2,100.252,99.879,98.615,97.891,99.801,99.359,102.081,1
168.0,289.0,0.8625,-0.0134,-1.0003,0.0,0.0,0.0,0.0,1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,101.046,102.064,102.065,100.57,101.968,101.633,101.51,102.427,100.976,101.722,99.302,98.945,97.938,101.46,100.351,100.436,1
131.0,277.0,0.89,-0.8908,-1.165,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.396,100.835,101.12,102.303,101.716,101.168,99.708,97.849,100.296,99.766,100.478,99.901,97.477,100.875,101.177,101.578,1
122.0,284.0,0.8872,-0.4661,-1.0096,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-2.5,0.0,0.0,101.343,100.718,102.367,102.366,101.691,100.751,101.682,99.554,100.385,101.487,98.886,100.61,99.371,100.953,101.112,103.0,1
134.0,280.0,0.9109,-0.5734,-0.1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,101.799,102.831,101.433,102.832,101.969,102.119,100.966,102.018,101.31,100.312,100.251,99.809,99.09,100.975,101.612,102.128,1
143.0,269.0,0.903,-0.9318,-1.0648,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,101.639,101.94,100.852,102.666,101.97,101.257,100.86,99.526,100.811,99.498,100.831,98.804,96.992,100.66,101.24,101.826,1
134.0,274.0,0.866,-0.1919,-0.3311,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.043,101.185,100.396,102.065,101.754,102.022,101.08,100.015,100.922,101.384,99.55,98.89,99.421,101.552,101.659,101.07,1
135.0,245.0,0.9291,0.0856,-0.4611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,102.102,103.133,103.133,103.132,101.969,100.832,101.731,99.726,100.697,100.07,100.097,100.388,98.448,101.66,101.796,102.999,1
143.0,270.0,0.8829,-1.0561,-0.9958,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.0,101.296,100.918,100.114,102.325,101.964,99.606,100.624,98.926,100.256,101.038,99.71,97.27,97.68,100.35,101.082,100.879,1
152.0,266.0,0.919,-1.058,-1.0316,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.937,102.965,101.687,102.966,101.969,101.496,100.742,102.035,101.319,99.856,100.262,99.548,97.528,100.686,102.025,100.441,1
152.0,272.0,0.9224,-1.2484,-1.0593,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-2.5,102.034,103.064,101.948,103.063,101.96,101.112,99.805,98.972,101.665,99.451,101.133,100.189,97.325,99.973,100.118,100.837,1
144.0,278.0,0.9072,-0.9027,-1.2384,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,-0.5,1.5,-1.5,0.0,0.0,101.804,101.459,102.691,102.831,101.851,101.385,100.53,100.436,98.859,100.554,100.085,99.43,98.233,101.133,99.832,101.904,1
143.0,265.0,0.8918,-0.8408,-1.1299,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.5,-0.5,0.5,-0.5,101.475,101.74,101.062,102.499,101.755,101.363,101.129,101.214,100.252,101.089,100.159,98.293,97.593,100.204,100.541,102.624,1
134.0,272.0,0.9053,-1.0738,-1.1132,0.0,0.0,0.0,0.0,5.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.637,100.707,102.65,102.664,101.561,101.255,98.526,98.822,100.085,99.5,100.262,99.651,97.803,100.497,100.899,102.25,1
126.0,264.0,0.8239,-0.4907,-1.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,101.139,99.263,102.148,102.165,101.359,100.179,101.231,100.525,100.647,99.349,99.746,100.879,98.593,101.14,101.185,101.643,1
136.0,321.0,0.8578,-0.6225,-0.279,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.31,101.833,100.479,102.332,101.97,101.579,101.355,101.594,101.819,100.212,100.222,98.997,99.394,100.46,101.562,101.601,1
152.0,252.0,0.9127,-1.1657,-1.1068,0.0,0.0,0.5,-0.5,0.0,0.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.838,101.636,102.004,102.866,101.969,100.993,100.718,100.23,100.471,100.621,99.644,98.609,96.706,99.969,101.556,100.453,1
148.0,302.0,0.8457,-0.4208,-0.7705,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.343,101.575,100.889,102.365,101.652,102.363,101.499,101.777,100.54,101.986,100.841,99.291,99.859,101.156,98.518,101.231,1
167.0,219.0,0.9537,-0.1055,-1.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,-3.0,0.0,0.0,-1.0,1.0,102.218,103.25,103.25,103.25,101.279,99.436,103.48,103.171,97.375,99.866,99.104,99.01,99.347,99.362,99.391,100.615,0
139.0,249.0,0.9247,-0.5469,-0.9292,0.0,0.0,0.0,0.0,-1.5,2.5,0.5,-0.5,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,102.068,103.098,102.553,103.099,101.964,99.941,99.095,102.067,101.963,96.438,98.388,100.601,97.785,99.708,102.481,102.992,0
146.0,265.0,0.8604,-0.791,-1.015,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,101.11,100.72,98.373,102.132,101.966,100.492,100.83,102.693,101.395,99.372,100.227,98.079,99.49,98.761,102.835,99.74,0
157.0,226.0,0.9428,-0.1702,-1.0494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.5,0.0,0.0,0.0,0.5,-0.5,102.218,103.25,103.25,103.25,102.048,100.283,100.814,103.065,97.522,100.764,100.072,97.235,99.123,98.746,100.267,101.919,0
167.0,230.0,0.9312,-0.1191,-1.0925,0.0,0.0,0.0,0.0,-1.5,1.5,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,102.196,103.204,103.232,103.228,101.589,100.165,100.791,102.614,96.956,100.741,98.835,98.145,97.845,97.271,99.748,100.057,0
141.0,218.0,0.9241,-0.1907,-1.0536,0.0,0.0,-0.5,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,101.902,102.347,101.702,102.74,101.288,100.707,100.36,102.127,98.904,99.308,98.943,96.88,96.75,101.772,102.998,102.999,0
166.0,221.0,0.9263,-0.7586,-0.7747,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,102.068,102.417,102.9,103.099,101.672,99.451,98.287,102.898,99.627,99.106,100.095,101.287,96.091,99.478,96.942,100.258,0
