CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
165.0,204.0,0.9035,-0.3821,-1.0685,0.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,0.5,1.0,-1.0,-0.5,-0.5,0.0,0.0,100.705,99.382,102.692,102.67,93.522,96.924,101.438,96.349,93.813,96.81,87.858,92.204,87.031,89.148,86.274,92.747,1
175.0,209.0,0.9134,1.2329,-0.9338,0.5,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,101.103,102.828,102.832,102.832,97.316,100.906,100.706,102.71,97.168,94.605,94.089,95.098,88.972,92.259,88.125,93.862,1
162.0,225.0,0.9266,0.0404,-1.1315,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,0.5,0.5,1.0,0.0,1.0,0.0,101.874,103.089,103.098,103.098,95.6,97.667,100.171,98.495,95.701,89.653,84.254,83.364,86.888,95.278,91.242,96.793,1
165.0,256.0,0.8687,-0.7046,-1.1895,-0.5,0.5,1.0,-1.5,0.0,0.0,0.5,0.5,0.0,0.0,3.0,-3.0,0.5,-0.5,-1.0,1.5,100.953,102.085,102.555,102.557,97.205,99.921,98.316,98.813,99.562,94.969,93.73,89.27,96.632,91.22,87.564,95.341,1
166.0,190.0,0.9349,0.0259,-0.5975,0.5,-0.5,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,0.0,0.0,0.0,102.218,103.25,103.25,103.25,97.405,100.316,98.679,103.085,93.286,94.773,83.585,95.54,90.253,89.604,95.783,99.99,1
154.0,222.0,0.934,0.6171,-0.9601,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,-0.5,-1.0,1.0,-1.0,1.0,102.218,103.25,103.25,103.25,98.282,99.426,96.012,100.02,92.279,83.965,83.045,82.309,94.439,97.194,98.545,99.662,1
159.0,236.0,0.9109,0.1657,-1.0921,0.0,0.0,-1.0,1.0,0.5,-0.5,-0.5,0.5,0.5,-0.5,0.0,-0.5,-0.5,1.5,2.0,-2.0,101.802,102.829,100.077,102.83,96.913,98.905,98.281,95.252,95.216,89.972,84.198,79.729,86.928,90.24,92.266,98.631,1
166.0,227.0,0.886,-0.1336,-1.1631,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,-1.0,100.942,99.258,101.332,102.449,95.441,99.076,99.043,94.665,95.384,97.731,91.44,82.35,85.44,86.3,85.376,95.562,1
149.0,212.0,0.8752,-0.4157,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.5,-0.5,-1.0,1.0,98.852,101.517,102.188,101.218,96.8,96.455,102.038,94.676,95.179,89.197,91.96,91.98,90.724,98.914,94.418,98.757,1
169.0,221.0,0.9361,-0.0574,-0.9074,-0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,0.0,0.0,0.0,-0.5,102.196,103.232,103.232,103.231,98.445,100.788,98.98,100.826,97.281,95.406,93.175,93.371,90.308,91.317,93.619,98.097,1
160.0,219.0,0.91,0.1841,-1.0827,-0.5,0.5,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.5,-0.5,1.0,0.0,0.0,1.5,-0.5,1.5,101.002,102.792,100.326,102.797,95.653,98.814,98.879,96.065,95.978,88.859,82.437,81.731,83.939,90.114,93.558,99.061,1
153.0,207.0,0.9401,0.1818,-1.0698,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,-0.5,0.5,-0.5,-1.0,1.0,0.5,-0.5,102.218,103.25,103.25,103.25,97.251,96.485,103.18,99.646,89.333,85.351,88.112,84.251,94.983,95.196,98.816,101.56,1
160.0,199.0,0.9197,0.0641,-0.8751,0.0,0.0,0.5,0.0,0.5,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.5,-0.5,0.5,2.5,-2.0,101.718,103.031,103.028,103.026,96.077,99.844,97.963,100.254,97.037,87.55,83.332,89.246,87.264,93.145,97.052,100.666,1
152.0,232.0,0.9014,-0.2342,-1.087,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-1.5,1.5,0.0,0.0,0.0,0.0,-0.5,0.5,100.64,102.633,102.607,99.522,95.633,96.692,100.822,94.389,94.095,91.871,87.019,90.005,90.701,94.377,94.628,101.597,1
150.0,192.0,0.9456,0.1347,-0.9125,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.5,-1.5,102.218,103.25,103.25,103.25,98.423,98.64,100.593,100.323,88.439,85.324,83.647,93.039,95.74,100.037,102.698,103.132,1
